央视卫视,#genre#
凤凰中文,http://live2.rxip.sc96655.com/live/test1_4000.m3u8?E=&U=&A=&K=&P=&S=
凤凰资讯,http://live2.rxip.sc96655.com/live/test2_4000.m3u8?E=&U=&A=&K=&P=&S=
重温经典,http://live2.rxip.sc96655.com/live/CWJD_4000.m3u8?E=&U=&A=&K=&P=&S=
欢笑剧场4K,http://live2.rxip.sc96655.com/live/hxjc-4k_8000.m3u8?E=&U=&A=&K=&P=&S=
CHC影迷电影,http://live2.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CHC动作电影,http://live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8?E=&U=&A=&K=&P=&S=
CHC家庭影院,http://live2.rxip.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8?E=&U=&A=&K=&P=&S=

新视觉,http://live2.rxip.sc96655.com/live/ycxsjH265_4000.m3u8?E=&U=&A=&K=&P=&S=
动漫秀场,http://live2.rxip.sc96655.com/live/yybb-dmxc-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
都市剧场,http://live2.rxip.sc96655.com/live/yxfydsjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
法治天地,http://live2.rxip.sc96655.com/live/fztx_4000.m3u8?E=&U=&A=&K=&P=&S=
北京纪实科教,http://live2.rxip.sc96655.com/live/bjjs_2000.m3u8?E=&U=&A=&K=&P=&S=
嘉佳卡通,http://live2.rxip.sc96655.com/live/jjkt_2000.m3u8?E=&U=&A=&K=&P=&S=
财富天下,http://live2.rxip.sc96655.com/live/cftx_4000.m3u8?E=&U=&A=&K=&P=&S=
金鹰纪实,http://live2.rxip.sc96655.com/live/jyjsHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
金鹰卡通,http://live2.rxip.sc96655.com/live/jykt_2000.m3u8?E=&U=&A=&K=&P=&S=
劲爆体育,http://live2.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
卡酷少儿,http://live2.rxip.sc96655.com/live/kkkt_4000.m3u8?E=&U=&A=&K=&P=&S=
快乐垂钓,http://live2.rxip.sc96655.com/live/fyzqklcdHDH265_4000.m3u8?E=&U=&A=&K=&P=&S=
梨园频道,http://live2.rxip.sc96655.com/live/ly_4000.m3u8?E=&U=&A=&K=&P=&S=
生活时尚,http://live2.rxip.sc96655.com/live/shssH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四海钓鱼,http://live2.rxip.sc96655.com/live/shdy_4000.m3u8?E=&U=&A=&K=&P=&S=
天元围棋,http://live2.rxip.sc96655.com/live/tywq_2000.m3u8?E=&U=&A=&K=&P=&S=
武术世界,http://live2.rxip.sc96655.com/live/wssj_4000.m3u8?E=&U=&A=&K=&P=&S=
先锋乒羽,http://live2.rxip.sc96655.com/live/xfpy_4000.m3u8?E=&U=&A=&K=&P=&S=
中国天气,http://live2.rxip.sc96655.com/live/zgqx_4000.m3u8?E=&U=&A=&K=&P=&S=
川网导视,http://live2.rxip.sc96655.com/live/cwdsHDH264_4000.m3u8?E=&U=&A=&K=&P=&S=
精品导视,http://live2.rxip.sc96655.com/live/jpdsH265_4000.m3u8?E=&U=&A=&K=&P=&S=
乐游,http://live2.rxip.sc96655.com/live/qjs-HDH265_4000.m3u8?E=&U=&A=&K=&P=&S=

中央新影-老故事,http://live2.rxip.sc96655.com/live/lgs_2000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-中学生,http://live2.rxip.sc96655.com/live/zxs_4000.m3u8?E=&U=&A=&K=&P=&S=
中央新影-发现之旅,http://live2.rxip.sc96655.com/live/fxzl_2000.m3u8?E=&U=&A=&K=&P=&S=




四川地方台,#genre#
峨眉电影4K,http://live2.rxip.sc96655.com/live/emdy4k_8000.m3u8?E=&U=&A=&K=&P=&S=
峨嵋电影,http://live2.rxip.sc96655.com/live/emdygqH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川经济,http://live2.rxip.sc96655.com/live/SCTV-2-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川文化,http://live2.rxip.sc96655.com/live/SCTV-3-H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川新闻,http://live2.rxip.sc96655.com/live/SCTV-4H265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川影视,http://live2.rxip.sc96655.com/live/SCTV-5-scysH265_4000.m3u8?E=&U=&A=&K=&P=&S=
四川妇女,http://live2.rxip.sc96655.com/live/SCTV-7-_4000.m3u8?E=&U=&A=&K=&P=&S=
四川科教,http://live2.rxip.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8?E=&U=&A=&K=&P=&S=
四川乡村,http://live2.rxip.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8?E=&U=&A=&K=&P=&S=
成都新闻,http://live2.rxip.sc96655.com/live/CDTV-1_4000.m3u8?E=&U=&A=&K=&P=&S=
成都经济,http://live2.rxip.sc96655.com/live/CDTV-2_4000.m3u8?E=&U=&A=&K=&P=&S=
